block_number,timestamp,proposer,proposer_index,proposer_pubkey,builder_pubkey,slot
24379313,1770157775,0x843a5a1d97a0c9e2e722df7f33204ebf066361a8e3541dd804299d312c56f7d7639f3f0bce13eccb3b856fcc117be851,2061378,0x843a5a1d97a0c9e2e722df7f33204ebf066361a8e3541dd804299d312c56f7d7639f3f0bce13eccb3b856fcc117be851,,13611146
24379314,1770157787,0x848e21a0b6e78e8d904c8c12d4524194c991a9743eaa8b485bc5df05b4c4a5e2f55f235ce639c8c1c6d847e90c87ba3a,1633805,0x848e21a0b6e78e8d904c8c12d4524194c991a9743eaa8b485bc5df05b4c4a5e2f55f235ce639c8c1c6d847e90c87ba3a,,13611147
24379315,1770157799,0xaa83bed40b328cd25931529d9e70eb5301d0ea513625b97fd3fe4c6e9530c4ad234af02f174ac992ed232c8dd4cc1f0f,1220428,0xaa83bed40b328cd25931529d9e70eb5301d0ea513625b97fd3fe4c6e9530c4ad234af02f174ac992ed232c8dd4cc1f0f,,13611148
24379316,1770157811,0x835e61c251c7ae673b3f63f4dfb830b6432e7f496db97a568a4af448f0f6a8480072003479ce4aa2b0f2cbf464b6a714,1930235,0x835e61c251c7ae673b3f63f4dfb830b6432e7f496db97a568a4af448f0f6a8480072003479ce4aa2b0f2cbf464b6a714,,13611149
24379317,1770157823,0x9278b9a2ed45e920cf793ba5489f01b9525d735fcbc78ea6e18ed991622c96e83c6a3f31e6655ab3b0fc168153bc6a6d,707952,0x9278b9a2ed45e920cf793ba5489f01b9525d735fcbc78ea6e18ed991622c96e83c6a3f31e6655ab3b0fc168153bc6a6d,,13611150
24379318,1770157835,0xb5af365972ff3cd281cee2540d87b003d6714de072d5f0c8173526eedf65a38a1581cbd70415c4ae93ac25c78e065380,1963043,0xb5af365972ff3cd281cee2540d87b003d6714de072d5f0c8173526eedf65a38a1581cbd70415c4ae93ac25c78e065380,,13611151
24379319,1770157847,0x89a3551050d368d9087b6fd79521dd84c08623155ea4c99cdfa9f0ac50537ad6eaac03ccddd67dbac6148425db544a3b,859136,0x89a3551050d368d9087b6fd79521dd84c08623155ea4c99cdfa9f0ac50537ad6eaac03ccddd67dbac6148425db544a3b,,13611152
24379320,1770157859,0xaf0838c59d08c84ef3c8097f07c75a003b0737a51e09ee3c9b9384b84f4cdc17e278c582a4f2beb6ea1f1212975a7f12,2033606,0xaf0838c59d08c84ef3c8097f07c75a003b0737a51e09ee3c9b9384b84f4cdc17e278c582a4f2beb6ea1f1212975a7f12,,13611153
24379321,1770157871,0x975f2699a6a7a7066e7a66645cf89ba5b19291fdf24397e2b27a75ca83214e4c8b32ce228b28b609de84a2559ef33269,2098411,0x975f2699a6a7a7066e7a66645cf89ba5b19291fdf24397e2b27a75ca83214e4c8b32ce228b28b609de84a2559ef33269,,13611154
24379322,1770157883,0x81a79e78078e3ebc4d2c88f846a229a24c9d1cb1776e04339f4596ee023bffc10f3f024ecac2f740f83e43ad6a1c1499,2183728,0x81a79e78078e3ebc4d2c88f846a229a24c9d1cb1776e04339f4596ee023bffc10f3f024ecac2f740f83e43ad6a1c1499,,13611155
